time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,upper_back_x,upper_back_y,upper_back_z,sippc_action,robot_vel_l,robot_vel_r
0,0.164617,0.293503,-0.092803,0.314738,-0.113438,-0.154972,0.140147,0.230248,-0.016396,0.259088,-0.16724,-0.088291,0.211352,0.115696,-0.025542,0.243218,-0.081355,0.014899,-0.120688,0.040215,-0.025421,-0.113292,-0.10138,-0.045445,-0.249756,-0.004755,0.021516,-0.244225,-0.148719,-0.084166,-0.260507,-0.045713,-0.071859,-0.246074,-0.161261,-0.185907,0.227285,0.01717,-0.005322,0,-0.010565,-0.026693
0.02,0.164444,0.293445,-0.092968,0.315143,-0.113476,-0.154807,0.140007,0.230226,-0.01652,0.259287,-0.167217,-0.088248,0.211304,0.115725,-0.025592,0.243251,-0.081304,0.014892,-0.120681,0.04018,-0.025416,-0.113346,-0.101649,-0.04511,-0.249731,-0.004844,0.021519,-0.244348,-0.149219,-0.083315,-0.260474,-0.045874,-0.071826,-0.246285,-0.162254,-0.184993,0.227277,0.017211,-0.00535,0,-0.010635,-0.026819
0.04,0.164205,0.293373,-0.093111,NaN,NaN,NaN,0.139765,0.230218,-0.016612,0.259684,-0.167136,-0.088135,0.21121,0.115803,-0.025595,0.243317,-0.081193,0.014927,-0.120658,0.04012,-0.025461,-0.11335,-0.101882,-0.044929,-0.249715,-0.004981,0.02138,-0.244363,-0.149653,-0.082839,-0.260415,-0.046078,-0.07194,-0.246329,-0.163055,-0.184469,0.227264,0.017305,-0.005334,0,-0.010704,-0.026945
0.06,0.16393,0.293285,-0.093356,0.316709,-0.113555,-0.154063,0.13951,0.230192,-0.016799,0.260037,-0.167084,-0.088026,0.211119,0.115868,-0.025645,0.24338,-0.081088,0.014946,-0.120647,0.040075,-0.025462,-0.11336,-0.102055,-0.044774,-0.249696,-0.005066,0.021362,-0.244396,-0.149991,-0.082396,-0.260375,-0.046195,-0.071947,-0.246371,-0.163805,-0.18397,0.22725,0.01739,-0.005349,0,-0.010774,-0.027073
0.08,0.163611,0.293237,-0.093475,0.317206,-0.113534,-0.153886,0.139203,0.230164,-0.016898,0.260411,-0.167012,-0.087913,0.211014,0.115958,-0.025634,0.243455,-0.080966,0.014968,-0.120625,0.040006,-0.02549,-0.113346,-0.1022,-0.044699,-0.249663,-0.005219,0.021283,-0.244394,-0.150271,-0.082109,-0.260285,-0.046352,-0.07203,-0.246323,-0.164341,-0.183649,0.227234,0.017496,-0.005333,0,-0.010845,-0.027201
0.1,NaN,NaN,NaN,0.317537,-0.113579,-0.15382,0.139001,0.23015,-0.017055,0.260583,-0.166946,-0.087893,0.21093,0.116012,-0.025705,0.243512,-0.080878,0.01495,-0.120614,0.03995,-0.025479,-0.113353,-0.102311,-0.044597,-0.249628,-0.005338,0.0213,-0.244431,-0.150449,-0.081814,-0.260207,-0.046516,-0.071998,-0.246329,-0.164841,-0.18331,0.227221,0.017567,-0.005377,0,-0.010916,-0.02733
0.12,0.163139,0.29319,-0.093735,0.317727,-0.113348,-0.153788,0.138796,0.230138,-0.01712,0.260698,-0.166776,-0.087976,0.210844,0.116074,-0.025749,0.243571,-0.080787,0.014926,-0.120601,0.039895,-0.025479,-0.11335,-0.102425,-0.044515,-0.249594,-0.005483,0.02127,-0.244436,-0.150657,-0.081583,-0.260139,-0.04668,-0.072023,-0.246325,-0.165248,-0.18305,0.227207,0.017643,-0.005412,0,-0.010987,-0.02746
0.14,0.162951,0.293191,-0.093861,0.318036,-0.113406,-0.153694,0.138665,0.230131,-0.017235,0.260836,-0.166735,-0.087951,0.210779,0.116107,-0.025846,0.243615,-0.08072,0.014912,-0.120598,0.039868,-0.025466,-0.113361,-0.102504,-0.044428,-0.249574,-0.005543,0.021296,-0.244456,-0.150811,-0.081367,-0.260112,-0.046751,-0.071993,-0.24641,-0.165554,-0.182811,0.227197,0.017693,-0.005467,0,-0.011059,-0.027591
0.16,NaN,NaN,NaN,0.318384,-0.113361,-0.153573,0.138505,0.230131,-0.017276,0.261034,-0.166674,-0.087947,0.210699,0.116159,-0.025907,0.243669,-0.08064,0.014876,-0.120591,0.03984,-0.025465,-0.113353,-0.102577,-0.044391,-0.24956,-0.005586,0.021306,-0.24444,-0.150947,-0.081276,-0.260101,-0.046734,-0.072009,-0.246453,-0.165681,-0.18272,0.227184,0.01776,-0.005516,0,-0.011131,-0.027722
0.18,0.162519,0.293118,-0.094113,0.318659,-0.113598,-0.153543,0.138412,0.230102,-0.017394,0.261168,-0.166738,-0.087901,0.210663,0.116166,-0.02601,0.243692,-0.080612,0.014827,-0.120599,0.039842,-0.025433,-0.113361,-0.10262,-0.044338,-0.249553,-0.005527,0.021431,-0.244442,-0.151049,-0.081164,-0.260133,-0.0465,-0.071957,-0.24654,-0.165874,-0.182594,0.227178,0.017777,-0.005591,0,-0.011204,-0.027855
