time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0,0.162172,0.316536,-0.033576,0.117838,-0.30956,-0.071534
0.02,0.161975,0.316441,-0.033626,0.118198,-0.309661,-0.072057
0.04,0.161882,0.316403,-0.033629,0.118228,-0.30969,-0.072024
0.06,0.161813,0.31633,-0.033723,0.11803,-0.309876,-0.071249
0.08,0.161766,0.316322,-0.033682,0.117769,-0.309971,-0.070447
0.1,0.161752,0.316285,-0.033744,0.117479,-0.310043,-0.069702
0.12,0.1617,0.316247,-0.033753,0.117401,-0.310193,-0.069062
0.14,0.161746,0.31616,-0.033846,0.117307,-0.310321,-0.068629
0.16,0.161692,0.316106,-0.033895,0.117356,-0.310456,-0.068275
0.18,0.161712,0.316042,-0.033983,0.117323,-0.310537,-0.068004
0.2,0.161584,0.316015,-0.034009,0.117342,-0.310664,-0.067419
0.22,NaN,NaN,NaN,0.117181,-0.310722,-0.066776
0.24,0.161421,0.315948,-0.034089,0.116972,-0.310812,-0.06583
0.26,0.161396,0.315919,-0.034191,0.116697,-0.310842,-0.065068
0.28,0.161371,0.315923,-0.0342,0.116572,-0.310912,-0.064436
0.3,0.161365,0.315925,-0.034253,0.116498,-0.310909,-0.064241
0.32,NaN,NaN,NaN,0.116585,-0.310942,-0.064189
0.34,0.161209,0.315985,-0.033912,0.116666,-0.310857,-0.064422
0.36,0.161078,0.316135,-0.033467,0.116842,-0.310749,-0.064657
0.38,0.161198,0.316308,-0.033066,0.116775,-0.310556,-0.065029
0.4,0.161204,0.316517,-0.032294,0.116788,-0.310367,-0.065558
0.42,0.160959,0.316717,-0.031179,0.116823,-0.310039,-0.066616
0.44,0.160495,0.316937,-0.02962,0.117156,-0.309727,-0.068101
0.46,0.160187,0.317149,-0.027961,0.11747,-0.309341,-0.069927
