time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0,0.105938,0.156901,-0.214572,0.157862,-0.273852,-0.055263
0.02,0.105549,0.156308,-0.21535,0.157868,-0.27382,-0.055196
0.04,0.104447,0.155559,-0.215762,0.157896,-0.273603,-0.055137
0.06,0.10441,0.155445,-0.215926,0.157808,-0.273541,-0.055133
0.08,0.104512,0.155611,-0.216026,0.157761,-0.273495,-0.055133
0.1,0.104805,0.155761,-0.216163,0.157746,-0.273408,-0.055232
0.12,0.10482,0.155898,-0.216191,0.157776,-0.2733,-0.055296
0.14,0.104596,0.155888,-0.21624,0.157793,-0.273287,-0.055368
0.16,0.10459,0.156072,-0.216235,0.15782,-0.273158,-0.055448
0.18,0.104375,0.156203,-0.216293,0.157796,-0.273232,-0.055514
0.2,0.10459,0.156385,-0.216222,0.157764,-0.273076,-0.055587
0.22,0.10462,0.15642,-0.216165,0.157705,-0.273152,-0.055579
0.24,0.104827,0.156546,-0.215968,0.157772,-0.272989,-0.055628
0.26,0.104771,0.156593,-0.21586,0.157739,-0.273094,-0.055585
0.28,0.104946,0.156793,-0.21566,0.157786,-0.272972,-0.055587
0.3,0.104898,0.156884,-0.215542,0.157805,-0.273088,-0.055599
0.32,0.105125,0.156957,-0.215358,0.157877,-0.272957,-0.055613
0.34,0.105327,0.157048,-0.215208,0.157902,-0.273016,-0.055593
0.36,0.105661,0.157159,-0.215041,0.15799,-0.272917,-0.055566
0.38,0.105969,0.157331,-0.214995,0.157957,-0.272886,-0.055493
0.4,0.106606,0.157548,-0.214881,0.158051,-0.272806,-0.055415
0.42,0.106948,0.157752,-0.214839,0.15794,-0.272843,-0.055323
0.44,0.107296,0.157864,-0.214767,0.157922,-0.272894,-0.055188
0.46,0.107461,0.158037,-0.214642,0.157822,-0.272949,-0.055149
0.48,0.107666,0.158205,-0.214579,0.157889,-0.272994,-0.055078
0.5,0.10769,0.158383,-0.214446,0.157863,-0.273008,-0.055088
0.52,0.107734,0.158496,-0.214359,0.157851,-0.273066,-0.055008
0.54,0.108014,0.158659,-0.214249,0.157848,-0.273089,-0.054971
0.56,0.108045,0.158719,-0.214248,0.157809,-0.27317,-0.05491
0.58,0.108252,0.158843,-0.214184,0.157759,-0.273183,-0.054909
